Rank,Driver,Points,Diff
1,Joey Logano,5040,
2,Ryan Blaney,5035,-5
3,William Byron,5034,-6
4,Tyler Reddick,5031,-9
5,Christopher Bell,2412,-2628
6,Kyle Larson,2378,-2662
7,Chase Elliott,2342,-2698
8,Denny Hamlin,2328,-2712
9,Alex Bowman,2318,-2722
10,Martin Truex Jr,2257,-2783
11,Austin Cindric,2247,-2793
12,Daniel Suarez,2226,-2814
13,Brad Keselowski,2208,-2832
14,Chase Briscoe,2184,-2856
15,Ty Gibbs,2169,-2871
16,Harrison Burton,2122,-2918
17,Chris Buescher,930,-4110
18,Bubba Wallace,878,-4162
19,Ross Chastain,852,-4188
20,Kyle Busch,766,-4274
