Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,9,18,Kyle Busch,Skittles Zombie   (Joe Gibbs),Toyota,334,running,90,50,6
2,6,19,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,334,running,53,33,0
3,15,95,Christopher Bell,Procore / LFR First Start Throwback   (Leavine Family Racing),Toyota,334,running,5,39,0
4,10,12,Ryan Blaney,Dex Imaging   (Roger Penske),Ford,334,running,20,46,0
5,5,88,Alex Bowman,Acronis   (Rick Hendrick),Chevrolet,334,running,43,40,0
6,3,2,Brad Keselowski,Discount Tire   (Roger Penske),Ford,334,running,0,38,0
7,8,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,334,running,0,30,0
8,14,21,Matt DiBenedetto,Menards / Richmond   (Wood Brothers),Ford,334,running,2,30,0
9,7,11,Denny Hamlin,FedEx Shipathon   (Joe Gibbs),Toyota,334,running,0,28,0
10,2,22,Joey Logano,AAA Insurance   (Roger Penske),Ford,334,running,0,30,0
11,12,3,Austin Dillon,Dow Sullair   (Richard Childress),Chevrolet,334,running,0,32,0
12,22,47,Ricky Stenhouse Jr,Kroger / Energizer / Hershey's / Cheerios   (JTG-Daugherty Racing),Chevrolet,334,running,0,27,0
13,11,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,334,running,0,29,0
14,16,41,Cole Custer,Autodesk / HaasTooling.com   (Stewart Haas Racing),Ford,334,running,0,23,0
15,19,8,Tyler Reddick,Clark Pipeline Services   (Richard Childress),Chevrolet,334,running,0,22,0
16,1,4,Kevin Harvick,Hunt Brothers Pizza   (Stewart Haas Racing),Ford,333,running,28,22,0
17,21,14,Clint Bowyer,Rush Truck Centers / Cummins   (Stewart Haas Racing),Ford,333,running,89,33,1
18,29,37,Ryan Preece,Scott Brand   (JTG-Daugherty Racing),Chevrolet,333,running,0,19,0
19,25,6,Ryan Newman,Guaranteed Rate   (Jack Roush),Ford,333,running,0,18,0
20,4,9,Chase Elliott,"Hooters ""Give a Hoot""   (Rick Hendrick)",Chevrolet,333,running,0,21,0
21,17,20,Erik Jones,Sport Clips   (Joe Gibbs),Toyota,333,running,2,24,0
22,24,38,John H. Nemechek,Romco   (Bob Jenkins),Ford,332,running,0,15,0
23,13,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,332,running,1,14,0
24,27,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,332,running,0,13,0
25,28,32,Corey LaJoie,Schluter Systems   (Archie St. Hilaire),Ford,331,running,0,12,0
26,23,34,Michael McDowell,Love's Travel Stops / Speedco   (Bob Jenkins),Ford,331,running,0,11,0
27,30,96,Daniel Suarez,The NASCAR Foundation   (Gaunt Brothers),Toyota,328,running,0,10,0
28,31,15,Brennan Poole,Thriv5   (Rick Ware),Chevrolet,328,running,1,9,0
29,37,7,Josh Bilicki,"Junction Fuels   (Tommy Baldwin, Jr.)",Chevrolet,326,running,0,0,0
30,36,66,Timmy Hill,RoofClaim.com   (Carl Long),Toyota,325,running,0,0,0
31,38,53,Garrett Smithley,Victory Lane Quick Oil Change / Kendall Oil   (Rick Ware),Ford,325,running,0,0,0
32,35,77,Reed Sorenson,Marwin Sports   (Spire Motorsports),Chevrolet,321,running,0,5,0
33,34,00,Quin Houff,Good Greek Movers   (StarCom Racing),Chevrolet,316,running,0,4,0
34,20,17,Chris Buescher,Fastenal / Loctite   (Jack Roush),Ford,310,running,0,3,0
35,40,49,Chad Finchum,Octane Mania / Sharelife Vacations   (Carl Long),Toyota,310,running,0,0,0
36,26,48,Jimmie Johnson,Ally Designed by Noah Sweet   (Rick Hendrick),Chevrolet,279,engine,0,7,0
37,39,51,Joey Gase,Donate Life Texas   (Rick Ware),Ford,184,suspension,0,0,0
38,18,43,Bubba Wallace,Door Dash   (Richard Petty Motorsports),Chevrolet,59,crash,0,1,0
39,32,42,Matt Kenseth,McDonald's McDelivery   (Chip Ganassi),Chevrolet,59,crash,0,1,0
40,33,27,J.J. Yeley,Fat Boy Ice Cream   (Rick Ware),Chevrolet,20,crash,0,0,0
