Rank,Driver,Points,Diff
1,Denny Hamlin,761,
2,Kyle Larson,759,-2
3,William Byron,690,-71
4,Joey Logano,651,-110
5,Kyle Busch,650,-111
6,Chase Elliott,633,-128
7,Martin Truex Jr,606,-155
8,Ryan Blaney,586,-175
9,Kevin Harvick,585,-176
10,Brad Keselowski,569,-192
11,Alex Bowman,543,-218
12,Austin Dillon,518,-243
13,Tyler Reddick,475,-286
14,Kurt Busch,430,-331
15,Chris Buescher,427,-334
16,Christopher Bell,424,-337
17,Michael McDowell,419,-342
18,Daniel Suarez,382,-379
19,Ricky Stenhouse Jr,376,-385
19,Bubba Wallace,376,-385
21,Matt DiBenedetto,370,-391
