Rank,Driver,Points,Diff
1,Kyle Larson,620,
1,Chase Elliott,620,0
3,Denny Hamlin,580,-40
4,Martin Truex Jr,572,-48
5,Tyler Reddick,560,-60
6,Christopher Bell,555,-65
7,William Byron,548,-72
8,Ryan Blaney,526,-94
9,Ross Chastain,510,-110
10,Brad Keselowski,507,-113
11,Ty Gibbs,499,-121
12,Alex Bowman,476,-144
13,Chris Buescher,467,-153
14,Joey Logano,430,-190
15,Bubba Wallace,417,-203
16,Chase Briscoe,405,-215
17,Kyle Busch,385,-235
18,Daniel Suarez,368,-252
19,Josh Berry,357,-263
20,Todd Gilliland,347,-273
21,Austin Cindric,345,-275
