Rank,Driver,Points,Diff
1,Kyle Larson,671,
2,Chase Elliott,660,-11
3,Tyler Reddick,648,-23
4,Denny Hamlin,629,-42
5,Martin Truex Jr,601,-70
6,William Byron,599,-72
7,Ryan Blaney,587,-84
8,Christopher Bell,586,-85
9,Ty Gibbs,560,-111
10,Brad Keselowski,558,-113
11,Alex Bowman,553,-118
12,Ross Chastain,529,-142
13,Chris Buescher,521,-150
14,Joey Logano,484,-187
15,Bubba Wallace,476,-195
16,Chase Briscoe,433,-238
17,Kyle Busch,423,-248
18,Daniel Suarez,410,-261
19,Todd Gilliland,400,-271
20,Austin Cindric,389,-282
21,Josh Berry,369,-302
