Rank,Driver,Points,Diff
1,Kyle Larson,664,
2,Chase Elliott,644,-20
3,Denny Hamlin,621,-43
4,Tyler Reddick,611,-53
5,Martin Truex Jr,591,-73
6,Christopher Bell,576,-88
7,William Byron,570,-94
8,Ryan Blaney,560,-104
9,Brad Keselowski,531,-133
10,Ty Gibbs,518,-146
11,Ross Chastain,514,-150
12,Chris Buescher,504,-160
13,Alex Bowman,499,-165
14,Joey Logano,470,-194
15,Bubba Wallace,448,-216
16,Chase Briscoe,421,-243
17,Kyle Busch,395,-269
18,Daniel Suarez,383,-281
19,Josh Berry,368,-296
20,Austin Cindric,367,-297
20,Todd Gilliland,367,-297
